연도,시간,위도,경도,진앙,규모,place
2012-04-17,오전 3:50:15,-32.625,-71.365,29,6.7,"Valparaiso, Chile"
2012-04-15,오전 5:57:40,2.581,90.269,25,6.2,off the west coast of northern Sumatra
2012-04-14,오후 10:05:26,-18.972,168.741,11,6.2,Vanuatu
2012-04-14,오전 10:56:19,-57.679,-65.308,15,6.2,Drake Passage
2012-04-12,오전 7:15:48,28.696,-113.104,13,7,"Baja California, Mexico"
2012-04-12,오전 7:06:00,28.837,-113.027,9,6,"Baja California, Mexico"
2012-04-11,오후 10:55:10,18.229,-102.689,20,6.5,"Michoacan, Mexico"
2012-04-11,오후 10:41:46,43.584,-127.638,8,6,off the coast of Oregon
2012-04-11,오전 10:43:10,0.802,92.463,25.1,8.2,off the west coast of northern Sumatra
2012-04-11,오전 9:27:56,1.254,91.735,10,6,North Indian Ocean
2012-04-11,오전 8:38:36,2.327,93.063,20,8.6,off the west coast of northern Sumatra
2012-04-06,오후 4:15:58,-4.551,153.457,108.5,6.1,"New Ireland region, Papua New Guinea"
2012-04-02,오후 5:36:42,16.395,-98.316,9,6,"Oaxaca, Mexico"
2012-03-27,오전 11:00:44,39.859,142.017,15,6.1,"near the east coast of Honshu, Japan"
2012-03-26,오후 6:12:52,10.071,-104.16,10,6,northern East Pacific Rise
2012-03-25,오후 10:37:06,-35.2,-72.217,40.7,7.1,"Maule, Chile"
2012-03-21,오후 10:15:06,-6.242,145.955,118,6.6,"New Guinea, Papua New Guinea"
2012-03-20,오후 6:02:47,16.493,-98.231,20,7.4,"Oaxaca, Mexico"
2012-03-20,오후 5:56:18,-3.812,140.266,66,6.1,"Papua, Indonesia"
2012-03-14,오후 9:13:08,-5.595,151.042,28,6.2,"New Britain region, Papua New Guinea"
2012-03-14,오후 12:05:04,35.687,140.695,10,6,"near the east coast of Honshu, Japan"
2012-03-14,오전 10:49:24,40.781,144.761,10,6.1,"off the east coast of Honshu, Japan"
2012-03-14,오전 9:08:35,40.887,144.944,12,6.9,"off the east coast of Honshu, Japan"
2012-03-09,오전 7:09:50,-19.125,169.613,16,6.7,Vanuatu
2012-03-05,오전 7:46:10,-28.246,-63.294,553.9,6.1,"Santiago Del Estero, Argentina"
2012-03-03,오후 12:19:55,-22.141,170.34,14,6.6,southeast of the Loyalty Islands
2012-02-26,오전 6:17:19,51.708,95.991,12,6.7,"southwestern Siberia, Russia"
2012-02-26,오전 5:21:24,-24.495,-177.238,10,6,south of the Fiji Islands
2012-02-14,오전 8:19:55,-10.39,161.102,51,6.4,Solomon Islands
2012-02-06,오전 10:10:19,9.885,123.095,9,6,"Negros - Cebu region, Philippines"
2012-02-06,오전 3:49:12,9.999,123.206,11,6.7,"Negros - Cebu region, Philippines"
2012-02-05,오후 4:40:39,-17.948,167.226,8,6.1,Vanuatu
2012-02-05,오전 12:15:38,-18.894,168.917,145,6.1,Vanuatu
2012-02-03,오전 3:46:21,-17.378,167.277,8,6.1,Vanuatu
2012-02-02,오후 1:34:40,-17.827,167.133,23,7.1,Vanuatu
2012-01-30,오전 5:11:00,-14.168,-75.635,43,6.4,near the coast of central Peru
