연도,국가코드,산림손실면적(ha),산불산림손실면적(ha)
2003,SLE,9098.9468308,11.037652461
2003,SLV,5983.6257597,68.062339565
2003,SMR,0.055779091764,0
2003,SOM,105.37201533,1.1456928561
2003,SRB,864.88650083,30.930374728
2003,SSD,2063.1782863,28.513697825
2003,SUR,4545.750693,705.7966983
2003,SVK,3750.1039256,23.96043253
2003,SVN,527.55135525,68.043031773
2003,SWE,92619.377352,1161.0857973
2003,SWZ,5760.2852815,80.685132217
2003,SXM,2.1241045901,0
2003,SYR,114.80634171,6.9856995089
2003,TCA,10.376101183,0.14315900853
2003,TCD,193.54137609,0.82966260129
2003,TGO,2048.2564552,12.735625113
2003,THA,58435.718474,389.16359834
2003,TJK,31.868693065,5.8934803252
2003,TKM,84.862766652,47.617590275
2003,TLS,690.81556604,37.629358389
2003,TTO,726.4368091,55.227571126
2003,TUN,1539.6434071,288.91659513
2003,TUR,17743.880098,1252.5319825
2003,TWN,1125.2061682,26.350402559
2003,TZA,84066.918569,451.50133334
2003,UGA,11980.249551,9.5343400207
2003,UKR,38954.577446,3466.1595996
2003,URY,10612.640453,237.93707628
2003,USA,1649364.2097,370782.79722
2003,UZB,52.798895953,3.1638977748
2003,VCT,9.6685879179,0
2003,VEN,87218.152069,13302.231873
2003,VGB,1.8274218397,0.073058550853
2003,VIR,39.954426939,0.87919570754
2003,VNM,43005.453815,828.47436646
2003,VUT,529.26296175,9.6360430379
2003,XKO,261.32417721,13.060946839
2003,Z01,162.07714866,32.599884819
2003,Z06,50.256953621,14.580850924
2003,Z07,3757.468342,69.566566885
2003,ZAF,92572.82073,3006.8900348
2003,ZMB,42088.07908,51.124585064
2003,ZNC,4.916948111,2.0162370303
2003,ZWE,7313.4565154,95.426680734
2004,AFG,201.32240442,157.04623801
2004,AGO,71271.368515,260.06213196
2004,AIA,8.8539959051,0
2004,ALA,735.84979602,12.27024465
2004,ALB,3235.5366682,445.2911226
2004,AND,22.589374487,3.3654944847
2004,ARG,433424.56969,29299.81804
2004,ARM,83.204743948,9.8788647244
2004,ATG,25.463259746,0.51455190653
2004,AUS,124768.68505,30740.820455
2004,AUT,14611.620226,103.47825703
2004,AZE,584.955793,75.395566001
2004,BDI,613.87883329,0.076800310663
2004,BEL,4793.2913594,85.401079052
2004,BEN,683.53154966,1.985516383
2004,BES,0.29739555234,0.15045993307
2004,BFA,8.6050909637,0.226465867
2004,BGD,4282.4678156,73.525259855
2004,BGR,8170.4098493,321.13403811
2004,BHS,588.09937146,125.83747216
2004,BIH,4121.8200111,696.71086798
2004,BLM,0.1465979917,0
2004,BLR,38596.876745,694.88153577
2004,BLZ,4339.2136015,353.2499918
2004,BMU,0.65275923587,0
2004,BOL,203307.18494,23205.341799
2004,BRA,3848491.8104,199271.53389
2004,BRB,8.3195377109,0.14994983023
2004,BRN,1197.059522,104.20863777
2004,BTN,1013.2465019,109.97637186
2004,BWA,50.657765007,1.0852538464
2004,CAF,14588.820705,152.96686703
2004,CAN,2706458.9569,1477406.9855
2004,CHE,3826.1314765,209.52557788
2004,CHL,85726.959942,4547.7511788
2004,CHN,501582.07612,104672.89946
2004,CIV,48053.394552,209.08674612
2004,CMR,23003.221347,94.548721939
2004,COD,400044.6696,5324.3198299
2004,COG,13832.85006,412.49345139
2004,COL,253864.88345,13331.461545
2004,COM,40.383838046,0.67770147203
2004,CPV,1.1902631809,0
2004,CRI,9766.3480909,343.48037203
2004,CUB,21973.727473,2471.7291199
2004,CUW,0.60184054843,0.075270502671
2004,CYM,47.103076237,7.8493809656
2004,CYP,87.555641012,9.1264554663
2004,CZE,13459.839221,50.395274072
2004,DEU,44939.478863,390.81111647
2004,DMA,79.355131344,1.6329432336
2004,DNK,2413.8561717,64.765172644
2004,DOM,19387.795041,1335.5160646
2004,DZA,4373.7242717,1801.4430199
2004,ECU,37283.940245,2409.4811213
2004,EGY,101.44923953,9.3886318971
2004,ESP,67273.049656,19789.630019
2004,EST,18106.142196,103.7643271
2004,ETH,13396.262158,14.765385191
2004,FIN,146602.41875,1963.1821457
2004,FJI,2079.9604364,45.070551914
2004,FRA,76134.344562,5940.7087678
2004,GAB,9981.6556144,105.61567639
2004,GBR,24840.373316,2371.2355055
2004,GEO,1967.0056086,59.0859077
2004,GGY,0.2015236975,0
2004,GHA,17628.111926,39.796071893
2004,GIN,17158.326101,10.543889611
2004,GLP,191.17001251,1.9965797644
2004,GMB,63.084722503,0
2004,GNB,3539.1776313,0.45233384237
2004,GNQ,421.43077213,0.3844393016
2004,GRC,6814.3434136,984.91244896
2004,GRD,631.01757415,13.773340223
2004,GTM,56439.822437,3983.9946157
2004,GUF,4805.0254674,326.61508369
2004,GUY,4062.3670095,480.25949446
2004,HND,26456.330815,1544.2012494
2004,HRV,6727.0720801,757.47145538
2004,HTI,2382.7280098,165.89459668
2004,HUN,12002.265872,422.43307931
2004,IDN,1289034.6826,91901.578127
2004,IMN,17.157833641,1.1805418885
2004,IND,66411.429455,1723.2811197
2004,IRL,6870.3543834,296.58933855
2004,IRN,276.00282583,58.67185625
2004,IRQ,4.4214858632,0.18845981507
2004,ISR,67.69178197,9.7047384663
2004,ITA,17222.311801,1184.7760354
2004,JAM,3901.1525247,115.44032261
2004,JEY,2.3289735095,0.10137204569
2004,JOR,2.2851488386,1.5014900389
2004,JPN,37312.093034,656.32273994
2004,KAZ,5513.1018503,1807.0541068
2004,KEN,16988.097531,61.290173087
2004,KGZ,192.26898602,89.699889127
2004,KHM,79294.666745,2178.5461616
2004,KNA,25.076339403,0.073589412643
2004,KOR,11407.604215,1225.51936
2004,LAO,64239.684129,129.05529297
2004,LBN,109.27987655,22.998891808
2004,LBR,6233.5597194,16.526747819
2004,LBY,10.263163756,5.4566597634
2004,LCA,40.203016193,2.241332535
2004,LIE,9.3782416689,0.3687237011
